CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
10087,ART,495,0,,Independent Projects,1 TO 4,TBA,,STAFF,,,
10088,ART,496,0,,Internship,2 TO 8,TBA,,STAFF,,,
10090,AHS,101,1,B,Wellness,2,11:15 AM - 1:05 PM,T R,"Penfound, Jean E.",CHR 223,,
10091,AHS,101,2,A,Wellness,2,11:35 AM - 12:45 PM,M W F,"Daly, Dana N.",CHR 223,,
10092,AHS,101,3,A,Wellness,2,8:00 AM - 9:10 AM,M W F,"Daly, Dana N.",CHR 223,,
10093,AHS,101,4,B,Wellness,2,8:30 AM - 10:20 AM,T R,"Daly, Dana N.",CHR 223,,
10094,AHS,101,5,B,Wellness,2,11:15 AM - 1:05 PM,T R,"Daly, Dana N.",MEY 133,,
10095,AHS,101,6,B,Wellness,2,11:35 AM - 12:45 PM,M W F,"Penfound, Jean E.",CHR 223,,
10096,AHS,101,7,A,Wellness,2,12:55 PM - 2:05 PM,M W F,"Daly, Dana N.",CHR 223,,
10098,AHS,273,0,A,Behavioral Medicine,2,11:15 AM - 1:05 PM,T R,"Penfound, Jean E.",CHR 223,,
10099,AHS,361,0,,Integrative Human Physiology,4,8:00 AM - 9:10 AM,M W F,"Hunt, Brian E.",MEY 145,75,
10100,AHS,281,0,,Biostatistics,4,9:20 AM - 10:30 AM,M W F,"Hunt, Brian E.",CHR 223,,AAQR
10101,AHS,361L,1,,Integrative Physiology Lab,0,7:30 AM - 10:20 AM,T,"Penfound, Jean E.",MEY 111,,
10102,AHS,361L,2,,Integrative Physiology Lab,0,1:15 PM - 4:05 PM,R,"Penfound, Jean E.",MEY 111,,
10103,AHS,361L,3,,Integrative Physiology Lab,0,7:30 AM - 10:20 AM,R,"Penfound, Jean E.",MEY 111,,
10104,AHS,361L,4,,Integrative Physiology Lab,0,1:15 PM - 4:05 PM,T,"Penfound, Jean E.",MEY 111,,
10106,AHS,368,0,,Concepts in Nutrition,4,1:15 PM - 3:05 PM,T R,"Ickes, Scott B.",CHR 223,,
10107,AHS,371,0,,Clinical Kinesiology,4,7:00 PM - 9:50 PM,M,"Alford, Micah L.",MEY 021,,
10108,AHS,371L,1,,Clinical Kinesiology Lab,0,5:00 PM - 6:50 PM,R,"Alford, Micah L.",MEY 205,,
10109,AHS,371L,2,,Clinical Kinesiology Lab,0,7:00 PM - 8:50 PM,R,"Alford, Micah L.",MEY 205,,
10111,AHS,451,0,A,Advanced Human Anatomy,2,8:30 AM - 10:20 AM,T R,"Townsend, Dana K.",MEY 011,,
10115,AHS,494,0,B,Integrative Seminar,2,6:30 PM - 10:00 PM,T,"Hunt, Brian E.",CHR 223,,
10121,PHIL,101,1,,Introduction to Philosophy,4,8:30 AM - 10:20 AM,T R,"Wood, W. Jay",BLANCH 125,,PI
10123,PHIL,103,0,,Philosophy & the Sciences,4,11:35 AM - 12:45 PM,M W F,"O'Connor, Robert C.",BLANCH 125,,"PI, SIP"
10124,PHIL,105,1,,Race & Justice,4,8:00 AM - 9:10 AM,M W F,"Cartagena, Nathan",BLANCH 125,,"DUS, PI"
10127,PHIL,245,0,,Logic,4,9:20 AM - 10:30 AM,M W F,"O'Connor, Robert C.",BLANCH 222,,AAQR
10128,PHIL,255,1,,Existentialism,4,6:30 AM - 1:05 PM,T,"Kemp, Ryan S.",BLANCH 124,,"LE, PI"
10129,PHIL,255,2,,Existentialism,4,6:30 AM - 1:05 PM,R,"Kemp, Ryan S.",BLANCH 124,,"LE, PI"
10131,PHIL,315,0,,Philosophy of Religion,4,1:15 PM - 3:05 PM,T R,"Wood, W. Jay",BLANCH 440,,PI
10133,PHIL,328,2,B,Business Ethics,2,11:35 AM - 12:45 PM,M W F,"Gordon, James R.",BLANCH 273,,
10144,PHIL,496,0,,Internship,2 OR 4,TBA,,STAFF,,,
10145,PHIL,499,0,,Honors Thesis,4,TBA,,STAFF,,,
10146,ARCH,211,0,,OT Archaeology,4,9:20 AM - 10:30 AM,M W F,"Miglio, Adam E.",BGC 534,,
10148,ARCH,495,0,,Independent Study,1 TO 4,TBA,,STAFF,,,
10156,BITH,211,1,,OT Lit & Interpretation,4,12:55 PM - 2:05 PM,M W F,"Stanghelle, Jason S.",BGC 136,,SHAR
10157,BITH,211,2,,OT Lit & Interpretation,4,1:15 PM - 3:05 PM,T R,"Master, Daniel M.",BGC 136,,SHAR
10158,BITH,211,3,,OT Lit & Interpretation,4,11:15 AM - 1:05 PM,T R,"Hill, Andrew E.",BGC 136,,SHAR
10159,BITH,211,4,,OT Lit & Interpretation,4,11:35 AM - 12:45 PM,M W F,"Buster, Aubrey E.",BGC 136,,SHAR
