CRN,Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Room,Fees,Attributes
80061,GEOL,307,0,,"Water, The Essential Resource",4,1:15 PM - 3:05 PM,T R,"Luhmann, Andrew J.",MEY 049,25,SIP
80062,CORE,101,3,,FYS-Living in God's Creation,4,11:35 AM - 12:45 PM,M W F,"Keil, Charles B.",MEY 045,,
80063,CORE,101,4,,FYS-Where Do We Come From?,4,2:15 PM - 3:25 PM,M W F,"Moshier, Stephen O.",MEY 045,,
80064,AHS,101,1,A,Wellness,2,8:00 AM - 9:10 AM,M W F,"Daly, Dana N.",CHR 223,,
80065,AHS,101,2,B,Wellness,2,8:30 AM - 10:20 AM,T R,"Penfound, Jean E.",CHR 223,,
80066,AHS,101,3,B,Wellness,2,11:35 AM - 12:45 PM,M W F,"Daly, Dana N.",CHR 223,,
80067,AHS,101,4,B,Wellness,2,11:15 AM - 1:05 PM,T R,"Penfound, Jean E.",CHR 223,,
80068,AHS,101,5,B,Wellness,2,12:55 PM - 2:05 PM,M W F,"Daly, Dana N.",CHR 223,,
80069,AHS,101,6,A,Wellness,2,9:20 AM - 10:30 AM,M W F,"Daly, Dana N.",CHR 223,,
80070,AHS,101,7,A,Wellness,2,8:30 AM - 10:20 AM,T R,"Daly, Dana N.",CHR 223,,
80071,AHS,101,8,B,Wellness,2,9:20 AM - 10:30 AM,M W F,"Penfound, Jean E.",CHR 223,,
80072,AHS,101,9,A,Wellness,2,1:15 PM - 3:05 PM,T R,"Daly, Dana N.",CHR 223,,
80073,AHS,101,10,B,Wellness,2,2:15 PM - 3:25 PM,M W F,"Daly, Dana N.",CHR 223,,
80076,AHS,273,0,A,Behavioral Medicine,2,11:15 AM - 1:05 PM,T R,"Penfound, Jean E.",CHR 223,,
80077,AHS,351,0,,Human Anatomy,4,12:55 PM - 2:05 PM,M W F,"Townsend, Dana K.",MEY 021,,
80078,AHS,351L,1,,Functional Human Anat Lab,0,7:30 AM - 10:20 AM,T,"Townsend, Dana K.",MEY 011,150,
80079,AHS,351L,2,,Functional Human Anat Lab,0,7:30 AM - 10:20 AM,R,"Townsend, Dana K.",MEY 011,150,
80081,AHS,351L,4,,Functional Human Anat Lab,0,1:15 PM - 4:05 PM,R,"Townsend, Dana K.",MEY 011,150,
80082,AHS,351L,5,,Functional Human Anat Lab,0,6:30 PM - 9:20 PM,M,"Townsend, Dana K.",MEY 011,150,
80083,AHS,381,0,,Concepts in Epidemiology,4,2:15 PM - 3:25 PM,M W F,"Bubu, O. Michael",BGC 140,,
80084,AHS,452L,1,,Applied Physiology Lab,0,8:30 AM - 10:20 AM,T,"Hunt, Brian E.",MEY 111,75,
80085,AHS,452L,2,,Applied Physiology Lab,0,8:30 AM - 10:20 AM,R,"Hunt, Brian E.",MEY 111,75,
80086,AHS,452L,3,,Applied Physiology Lab,0,6:45 PM - 8:35 PM,R,"Hunt, Brian E.",MEY 111,75,
