Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
ENGL,336,0,,English Renaissance,4,2:15 PM - 3:25 PM,M W F,Weber\ Benjamin D.,,
ENGW,336,0,,Fiction Writing,4,8:00 AM - 9:10 AM,M W F,Mazzarella\ Nicole,,
CHIN,336,0,,Chinese Cinema,4,11:15 AM - 1:05 PM,T R,Zhai\ Wenyang,,
CORE,337,0,,AIS: Justice\ Law and Society,4,6:30 PM - 10:00 PM,M,Miglio & Chapman,,PI
SOC,337,0,,Racial and Ethnic Relations,4,12:55 PM - 2:05 PM,M W F,Kim\ Henry H.,,DUS
SPAN,337,0,,Spanish American Literature,4,2:15 PM - 3:25 PM,M W F,Quiroa\ Nestor I.,,GP\ LE
CORE,338,0,,AIS: Physics of Sound,4,2:15 PM - 3:25 PM,M W F,Whitney\ Heather M.,,SP
EDUC,338,0,,Cross-Categorical Methods,4,1:15 PM - 3:05 PM,T R,Lederhouse\ Jillian N.,,
CORE,339,0,,AIS: Africa's Oral Past,4,9:20 AM - 10:30 AM,M W F,Stringham & Buis,,HP\ VPAM
C E,339,0,,Compassion & Crisis Ministry,4,11:15 AM - 1:05 PM,T R,McRay\ Barrett W.,,
ART,340,0,,Ceramic Sculpture,3,12:55 PM - 3:55 PM,M W,Hooker\ David J.,,
COMM,340,0,,Crisis & Reputation Management,4,6:30 PM - 10:00 PM,T,Taylor\ LaTonya J.,,
GERM,341,0,,Contemp German Culture,4,12:55 PM - 2:05 PM,M W F,Shaffer\ Clinton S.,25,
COMM,341,0,,Media\ Religion and Culture,4,12:55 PM - 2:05 PM,M W F,Schuchardt\ Read M.,,
SPAN,341,0,,Empire: Span Lit before 1800,4,11:35 AM - 12:45 PM,M W F,Townsend\ Tamara L.,,GP\ LE
CORE,341,0,,AIS: Stress and Flourishing,4,11:15 AM - 1:05 PM,T R,Thom\ Nathaniel J.,,SIP
MUMS,342,0,,Vocal Techniques,1,11:15 AM - 12:05 PM,T,Hueber\ Thomas E.,48,
B EC,342,0,,Principles of Management,4,11:35 AM - 12:45 PM,M W F,Lee\ Min-Dong Paul,,
PHYS,342,0,,Electromagnetic Theory,4,12:55 PM - 2:05 PM,M W F,Schroeder\ James W.,,
ENGL,342,0,,Am Lit:Realism To Modernism,4,1:15 PM - 3:05 PM,T R,Kriner\ Tiffany E.,,
