Subject,Number,Section,Quad,Title / Comment,Credits,Meeting Time,Days,Instructor(s),Fees,Attributes
SPAN,102,2,NONE,Elementary Spanish,4,2:15 PM - 3:25 PM,M W F,Barlar\ Sharenda H.,0,COMP
HIST,102,2,NONE,EGP: New Worlds:1450-1750,4,11:35 AM - 12:45 PM,M W F,Harkrider\ Melissa,0,GP\ HP
HIST,102,1,NONE,EGP:Hist/HistFiction in Africa,4,9:20 AM - 10:30 AM,M W F,Stringham\ Noel C.,0,GP\ HP
HIST,102,3,NONE,EGP:Memoir:Modern Mid East,4,12:55 PM - 2:05 PM,M W F,Stringham\ Noel C.,0,GP\ HP
MSCI,102,0,NONE,Intro to Profession of Arms,2,6:30 PM - 10:00 PM,R,Nigh\ David A.,0,NONE
HIST,102,4,NONE,EGP: The Holocaust,4,1:15 PM - 3:05 PM,T R,Lundin\ Matthew D.,0,GP\ HP
MUIP,102,0,NONE,Private Lessons: Organ,2,TBA,BLANK,Zimmerman\ Edward,512,NONE
MUCS,103,1,A,Intro To Music:20C/World,2,8:30 AM - 10:20 AM,T R,Buis\ Johann S.,0,VPAM
MUCS,103,2,B,Intro To Music:20C/World,2,8:30 AM - 10:20 AM,T R,Buis\ Johann S.,0,VPAM
ENGW,103,1,NONE,Composition and Research,4,9:20 AM - 10:30 AM,M W F,Galbraith\ Jeffrey R.,0,COMP
ENGW,103,3,NONE,Composition and Research,4,11:35 AM - 12:45 PM,M W F,Lapeyre\ Christophe,0,COMP
ENGW,103,4,NONE,Composition and Research,4,2:15 PM - 3:25 PM,M W F,Lapeyre\ Christophe,0,COMP
ENGW,103,5,NONE,Composition and Research,4,9:20 AM - 10:30 AM,M W F,Bieber Lake\ Christin,0,COMP
FREN,103,0,NONE,Accel Elem French,4,11:35 AM - 12:45 PM,M W F,Forsberg\ Amy Y.,0,COMP
SPAN,103,1,NONE,Accel Elem Spanish,4,8:00 AM - 9:10 AM,M W F,Toly\ Rebecca A.,0,COMP
SPAN,103,2,NONE,Accel Elem Spanish,4,12:55 PM - 2:05 PM,M W F,Townsend\ Tamara,0,COMP
PHIL,103,0,NONE,Philosophy & the Sciences,4,11:35 AM - 12:45 PM,M W F,O'Connor\ Robert C.,0,PI\ SIP
GERM,103,0,NONE,Accel Elem German,4,8:00 AM - 9:10 AM,M W F,Gascho\ Bethel L.,0,NONE
HIST,103,1,NONE,EAP:US Pop Culture Since 1900,4,6:30 PM - 10:00 PM,R,Thomas\ Amber R.,0,DUS\ HP
ENGW,103,2,NONE,Composition and Research,4,11:15 AM - 1:05 PM,T R,Long\ Abigail H.,0,COMP
ENGW,103,7,NONE,Composition and Research,4,3:15 PM - 5:05 PM,T R,Gibson\ Alison R.,0,COMP
ENGW,103,8,NONE,Composition and Research,4,1:15 PM - 3:05 PM,T R,Gibson\ Alison R.,0,COMP
HIST,103,2,NONE,EAP: Health & Medicine in US,4,6:30 PM - 10:00 PM,W,Riddle\ Jonathan D.,0,DUS\ HP
MUIP,103,0,NONE,Private Lessons: Harpsichord,2,TBA,BLANK,Zimmerman\ Edward,512,NONE
ENGW,104,0,A,Composition and Research,2,6:30 PM - 10:00 PM,M,Beitler\ James E.,0,COMP
ENGW,104,3,A,Composition and Research,2,11:35 AM - 12:45 PM,M W F,Ryken\ Leland,0,COMP
ENGW,104,5,A,Composition and Research,2,2:15 PM - 3:25 PM,M W F,Martindale\ H. Wayn,0,COMP
ENGW,104,6,A,Composition and Research,2,12:55 PM - 2:05 PM,M W F,Martindale\ H. Wayn,0,COMP
ENGW,104,2,B,Composition and Research,2,11:35 AM - 12:45 PM,M W F,Ryken\ Leland,0,COMP
ENGW,104,1,B,Composition and Research,2,11:15 AM - 1:05 PM,T R,Mazzarella\ Nicole,0,COMP
MUIP,104,1,NONE,Private Lessons: Voice,2,TBA,BLANK,Hart\ Carolyn A.,512,NONE
MUIP,104,2,NONE,Private Lessons: Jazz Voice,2,TBA,BLANK,Williams & Hart,512,NONE
PHIL,105,1,NONE,Race & Justice,4,8:00 AM - 9:10 AM,M W F,Cartagena\ Nathan,0,DUS\ PI
PHIL,105,2,NONE,Race & Justice,4,12:55 PM - 2:05 PM,M W F,Cartagena\ Nathan,0,DUS\ PI
ENGR,105,0,NONE,Engineering Graphics,2,1:15 PM - 4:05 PM,R,Pierson\ Benjamin M,65,NONE
MUIP,105,0,NONE,Private Lessons: Violin,2,TBA,BLANK,Joiner & Zafer,512,NONE
MUIP,106,0,NONE,Private Lessons: Viola,2,TBA,BLANK,Griffin & Joiner,512,NONE
MATH,107,0,NONE,Finite Mathematics,4,11:35 AM - 12:45 PM,M W F,Lovett\ Stephen T.,0,AAQR
MUIP,107,0,NONE,Private Lessons: Cello,2,TBA,BLANK,Altino & Joiner,512,NONE
MUIP,108,2,NONE,Private Lessons:Jazz Bass,2,TBA,BLANK,Ernst & Joiner,512,NONE
